"Weekday","Leads","Acqs","Regs","Ratio","Cont from Lds","%Cont from Lds","Cont","Cont%","Phone Comm","% Phone Comm","% Acqs/Leads","% Acqs/Cont","% Regs/Cont","Calls","Calls per Lead","%Cont/Calls","Retries","Retries per Lead","Contract Price","SOV"
"Friday","63","2","5","2.5","18","0.2857142857142857","28","0.4444444444444444","34","0.5396825396825397","0.031746031746031744","0.07142857142857142","0.17857142857142858","366","5.809523809523809","0.07650273224043716","387","6.142857142857143","5,058","4,046.4"
"Monday","138","1","3","3","47","0.34057971014492755","77","0.5579710144927537","85","0.6159420289855072","0.007246376811594203","0.012987012987012988","0.03896103896103896","1,174","8.507246376811594","0.065587734241908","1,041","7.543478260869565","2,740.712","2,192.5696000000003"
"Saturday","48","1","1","1","16","0.3333333333333333","13","0.2708333333333333","17","0.3541666666666667","0.020833333333333332","0.07692307692307693","0.07692307692307693","76","1.5833333333333333","0.17105263157894737","147","3.0625","1,235","988"
"Sunday","40","3","4","1.3333333333333333","10","0.25","17","0.425","19","0.475","0.075","0.17647058823529413","0.23529411764705882","209","5.225","0.08133971291866028","314","7.85","4,134.9621","3,307.96968"
"Thursday","109","3","5","1.6666666666666667","41","0.3761467889908257","53","0.48623853211009177","58","0.5321100917431193","0.027522935779816515","0.05660377358490566","0.09433962264150944","509","4.669724770642202","0.10412573673870335","466","4.275229357798165","4,690.25","3,752.2000000000003"
"Tuesday","76","2","2","1","27","0.35526315789473684","45","0.6","56","0.7368421052631579","0.02631578947368421","0.044444444444444446","0.044444444444444446","624","8.210526315789474","0.07211538461538461","725","9.539473684210526","2,195.089","1,756.0712"
"Wednesday","96","2","7","3.5","36","0.375","38","0.3958333333333333","57","0.59375","0.020833333333333332","0.05263157894736842","0.18421052631578946","448","4.666666666666667","0.08482142857142858","487","5.072916666666667","6,219.4939","4,975.595120000001"
